"ORDER_ID","LINE_ITEM_ID","PRODUCT_ID","UNIT_PRICE","QUANTITY","SHIPMENT_ID"
567,3,15,13,97,3,806
568,1,45,31,68,2,808
568,2,30,37,34,3,807
568,3,21,38,34,4,808
569,1,39,11,2,809
569,2,34,23,32,3,809
569,3,31,28,59,3,810
570,1,33,37,2,446
571,1,8,19,58,4,812
571,2,24,48,39,3,812
572,1,37,29,51,2,686
572,2,25,9,8,1,813
572,3,3,16,67,4,814
573,1,20,28,21,3,815
574,1,29,24,71,5,816
574,2,42,10,11,3,395
575,1,9,21,16,1,818
575,2,13,12,64,4,817
576,1,31,28,59,4,
576,2,30,37,34,1,
577,1,33,37,4,821
577,2,17,39,89,2,75
577,3,27,39,91,2,820
578,1,38,22,98,5,823
578,2,33,37,5,822
578,3,13,12,64,5,824
579,1,20,28,21,5,
580,1,3,16,67,1,825
581,1,15,13,97,1,826
581,2,22,39,78,5,826
581,3,6,38,28,1,826
582,1,8,19,58,4,827
582,2,26,48,75,5,827
583,1,19,14,34,4,829
583,2,33,37,4,829
583,3,40,34,06,2,828
584,1,7,19,16,3,
585,1,29,24,71,3,831
585,2,31,28,59,2,830
585,3,37,29,51,4,830
586,1,36,49,12,2,832
586,2,6,38,28,2,832
587,1,27,39,91,3,833
587,2,28,10,24,4,834
588,1,4,44,17,3,835
589,1,25,9,8,5,836
589,2,43,16,64,1,836
590,1,45,31,68,3,837
591,1,26,48,75,2,
592,1,18,24,46,5,838
592,2,31,28,59,3,838
593,1,34,23,32,3,839
593,2,40,34,06,3,839
593,3,18,24,46,2,840
594,1,21,38,34,4,841
594,2,25,9,8,4,841
595,1,6,38,28,2,842
596,1,31,28,59,4,
597,1,10,29,49,1,843
597,2,9,21,16,1,843
598,1,29,24,71,3,844
598,2,25,9,8,3,845
599,1,36,49,12,3,846
599,2,25,9,8,5,846
600,1,21,38,34,2,
600,2,29,24,71,4,
601,1,22,39,78,2,
601,2,38,22,98,2,
602,1,37,29,51,2,847
603,1,23,10,33,2,848
603,2,27,39,91,4,848
604,1,31,28,59,5,849
604,2,39,11,3,849
604,3,25,9,8,2,850
605,1,32,5,65,5,852
605,2,31,28,59,4,851
606,1,15,13,97,4,853
606,2,26,48,75,3,853
607,1,28,10,24,1,855
607,2,25,9,8,2,854
608,1,15,13,97,5,856
608,2,23,10,33,5,856
608,3,35,7,18,3,856
609,1,33,37,5,858
610,1,20,28,21,4,859
610,2,22,39,78,2,859
610,3,41,8,66,1,859
611,1,45,31,68,4,860
611,2,16,13,09,1,860
612,1,28,10,24,1,861
612,2,15,13,97,2,861
613,1,40,34,06,3,862
613,2,14,26,14,5,863
614,1,43,16,64,2,
614,2,3,16,67,1,
614,3,17,39,89,3,
615,1,44,39,32,2,864
615,2,27,39,91,2,864
616,1,24,48,39,4,865
617,1,17,39,89,4,
618,1,25,9,8,3,866
618,2,36,49,12,3,867
619,1,16,13,09,5,868
619,2,2,29,55,5,868
619,3,19,14,34,3,868
620,1,45,31,68,2,869
620,2,30,37,34,2,870
621,1,38,22,98,1,871
621,2,7,19,16,2,871
622,1,30,37,34,2,873
622,2,19,14,34,2,872
623,1,12,10,48,2,874
624,1,5,43,71,2,877
624,2,26,48,75,4,875
624,3,21,38,34,4,875
625,1,8,19,58,3,
625,2,6,38,28,2,
626,1,12,10,48,4,
627,1,42,10,11,2,
627,2,39,11,4,
628,1,25,9,8,1,879
628,2,26,48,75,3,878
628,3,9,21,16,4,878
629,1,33,37,2,880
629,2,29,24,71,4,881
630,1,40,34,06,2,883
630,2,19,14,34,4,882
630,3,30,37,34,4,882
631,1,42,10,11,3,
631,2,5,43,71,3,
631,3,40,34,06,4,
632,1,2,29,55,1,884
632,2,21,38,34,4,885
633,1,43,16,64,2,886
633,2,4,44,17,2,887
633,3,9,21,16,3,887
634,1,12,10,48,2,889
634,2,17,39,89,2,888
635,1,36,49,12,4,890
635,2,24,48,39,1,890
635,3,8,19,58,5,891
636,1,5,43,71,3,892
637,1,9,21,16,2,
637,2,14,26,14,1,
638,1,2,29,55,4,893
639,1,34,23,32,4,895
639,2,32,5,65,2,894
640,1,3,16,67,3,896
640,2,17,39,89,2,897
641,1,4,44,17,2,898
641,2,20,28,21,5,899
642,1,13,12,64,4,900
642,2,6,38,28,2,900
643,1,43,16,64,2,901
643,2,46,27,64,2,902
644,1,23,10,33,3,663
644,2,40,34,06,3,904
645,1,8,19,58,5,906
645,2,16,13,09,2,905
646,1,18,24,46,5,907
646,2,2,29,55,4,907
647,1,8,19,58,2,
647,2,18,24,46,3,
648,1,26,48,75,2,910
648,2,44,39,32,3,909
648,3,33,37,4,827
649,1,5,43,71,1,
649,2,10,29,49,4,
650,1,23,10,33,3,911
650,2,18,24,46,2,911
651,1,40,34,06,1,
651,2,24,48,39,1,
652,1,13,12,64,2,913
652,2,44,39,32,3,912
653,1,28,10,24,3,915
653,2,36,49,12,3,671
653,3,12,10,48,5,915
654,1,22,39,78,2,916
654,2,32,5,65,5,554
655,1,33,37,5,918
655,2,11,30,69,4,918
656,1,9,21,16,3,920
656,2,38,22,98,1,919
657,1,39,11,3,
657,2,35,7,18,3,
657,3,44,39,32,4,
658,1,4,44,17,4,922
658,2,45,31,68,4,923
658,3,22,39,78,3,921
659,1,42,10,11,4,925
659,2,34,23,32,4,924
660,1,32,5,65,1,613
660,2,33,37,2,926
661,1,19,14,34,4,927
661,2,10,29,49,1,927
662,1,12,10,48,5,929
662,2,6,38,28,3,928
663,1,35,7,18,2,930
664,1,23,10,33,1,931
665,1,25,9,8,2,803
665,2,27,39,91,5,932
666,1,18,24,46,3,933
667,1,4,44,17,3,
667,2,22,39,78,4,
668,1,31,28,59,3,934
668,2,14,26,14,3,934
669,1,37,29,51,2,935
669,2,28,10,24,5,936
670,1,2,29,55,1,937
670,2,22,39,78,4,937
671,1,9,21,16,2,938
671,2,34,23,32,3,938
672,1,46,39,16,4,
673,1,22,39,78,3,939
673,2,11,30,69,5,939
674,1,12,10,48,3,940
674,2,27,39,91,1,940
675,1,41,8,66,1,
675,2,36,49,12,2,
676,1,8,19,58,4,941
676,2,36,49,12,3,941
676,3,5,43,71,3,941
677,1,37,29,51,4,
678,1,27,39,91,4,942
678,2,5,43,71,3,943
678,3,35,7,18,2,943
679,1,20,28,21,5,944
679,2,26,48,75,4,944
680,1,3,16,67,1,945
680,2,9,21,16,1,945
681,1,13,12,64,2,
682,1,8,19,58,4,946
682,2,42,10,11,4,947
683,1,8,19,58,5,948
683,2,23,10,33,3,949
684,1,20,28,21,3,950
684,2,18,24,46,5,950
685,1,44,39,32,2,953
685,2,10,29,49,4,952
686,1,10,29,49,3,954
686,2,12,10,48,5,954
687,1,42,10,11,2,956
687,2,13,12,64,2,955
688,1,37,29,51,2,226
688,2,8,19,58,3,958
689,1,9,21,16,4,
689,2,11,30,69,4,
690,1,31,28,59,5,959
690,2,5,43,71,4,960
691,1,7,19,16,3,
692,1,13,12,64,4,
692,2,46,39,16,2,
692,3,38,22,98,2,
693,1,12,10,48,4,961
693,2,32,5,65,4,961
694,1,39,11,4,962
694,2,43,16,64,1,963
695,1,18,24,46,4,964
696,1,3,16,67,4,
696,2,26,48,75,4,
697,1,29,24,71,4,
698,1,9,21,16,2,965
699,1,36,49,12,4,966
699,2,38,22,98,3,966
700,1,45,31,68,4,967
700,2,36,49,12,1,967
700,3,33,37,3,968
701,1,21,38,34,5,970
701,2,26,48,75,4,969
701,3,19,14,34,2,969
702,1,15,13,97,2,972
702,2,25,9,8,2,971
703,1,43,16,64,3,973
704,1,13,12,64,2,975
704,2,2,29,55,5,974
705,1,10,29,49,2,
705,2,44,39,32,5,
706,1,30,37,34,4,976
707,1,18,24,46,3,977
708,1,31,28,59,2,978
708,2,14,26,14,2,978
709,1,27,39,91,4,979
709,2,19,14,34,3,979
710,1,44,39,32,2,482
711,1,40,34,06,3,981
712,1,25,9,8,3,571
713,1,7,19,16,3,
713,2,20,28,21,3,
1,1,33,37,4,
1,2,11,30,69,2,
2,1,41,8,66,3,1
2,2,32,5,65,5,1
3,1,41,8,66,5,2
4,1,20,28,21,2,3
4,2,38,22,98,4,3
4,3,46,39,16,4,3
5,1,40,34,06,4,4
5,2,32,5,65,3,5
6,1,6,38,28,3,6
6,2,9,21,16,4,6
7,1,36,49,12,4,7
7,2,29,24,71,1,7
8,1,36,49,12,4,10
8,2,38,22,98,4,8
8,3,46,27,64,1,9
9,1,15,13,97,5,11
9,2,32,5,65,2,12
10,1,27,39,91,3,13
10,2,34,23,32,5,13
10,3,5,43,71,3,14
11,1,3,16,67,4,15
12,1,5,43,71,1,16
12,2,46,39,16,3,16
13,1,46,39,16,4,17
14,1,31,28,59,1,18
15,1,33,37,2,20
15,2,32,5,65,2,19
16,1,41,8,66,5,21
16,2,34,23,32,4,22
17,1,46,39,16,4,23
17,2,26,48,75,4,23
18,1,17,39,89,4,25
18,2,27,39,91,4,25
19,1,13,12,64,3,27
19,2,8,19,58,2,26
19,3,24,48,39,4,27
20,1,27,39,91,4,
