tconst,averageRating,numVotes
tt0000001,5.7,2169
tt0000002,5.5,298
tt0000003,6.5,2229
tt0000004,5.2,192
tt0000005,6.2,2969
tt0000006,5,216
tt0000007,5.3,917
tt0000008,5.4,2317
tt0000009,5.3,228
tt0000010,6.8,8041
tt0000011,5.2,428
tt0000012,7.4,13616
tt0000013,5.7,2084
tt0000014,7.1,6231
tt0000015,6.1,1291
tt0000016,5.9,1672
tt0000017,4.6,388
tt0000018,5.2,672
tt0000019,5.2,34
tt0000020,4.7,416
tt0000022,5.1,1224
tt0000023,5.7,1601
tt0000024,3.7,167
tt0000025,4.1,52
tt0000026,5.6,1695
tt0000027,5.6,1283
tt0000028,5.1,1216
tt0000029,5.9,3699
tt0000030,5.2,970
tt0000031,5.5,1102
tt0000032,4.9,464
tt0000033,5.5,1145
tt0000034,4.8,255
tt0000035,5.5,87
tt0000036,4.4,661
tt0000037,4.4,79
tt0000038,4.1,237
tt0000039,3.7,37
tt0000040,4.2,81
tt0000041,6.7,2136
tt0000042,4.2,41
tt0000043,3.4,35
tt0000044,4,55
tt0000045,4,36
tt0000046,4.1,41
tt0000047,3.6,41
tt0000048,4.6,238
tt0000049,4.5,60
tt0000050,3.9,38
tt0000051,3.6,38
tt0000052,4.1,127
tt0000053,3.3,20
tt0000054,4.9,37
tt0000055,3.8,34
tt0000056,3,24
tt0000057,4.1,39
tt0000058,4.2,36
tt0000059,3.5,30
tt0000060,7.1,94
tt0000061,4.1,39
tt0000062,6.1,228
tt0000063,3.4,31
tt0000064,3.1,32
tt0000065,3.3,32
tt0000066,3.2,32
tt0000067,5,98
tt0000068,3.8,34
tt0000069,4.9,561
tt0000070,6.4,2914
tt0000071,3.4,32
tt0000072,3.4,31
tt0000073,3.3,34
tt0000074,4.4,35
tt0000075,6.3,2185
tt0000076,4.4,592
tt0000077,4.5,38
tt0000078,3.5,115
tt0000079,4.5,39
tt0000080,4.1,34
tt0000081,4.1,35
tt0000082,4.6,53
tt0000083,4.4,36
tt0000084,4.4,33
tt0000085,4.7,36
tt0000086,4.1,36
tt0000087,4.8,39
tt0000088,4.1,36
tt0000089,6.2,1107
tt0000090,4,35
tt0000091,6.7,4372
tt0000092,4.6,32
tt0000093,4.6,100
tt0000094,4.2,59
tt0000095,4.8,37
tt0000096,4.5,32
tt0000097,4.6,37
tt0000098,5.2,39
tt0000099,4.7,35
tt0000100,4.7,66
tt0000101,4.6,31
tt0000102,4.7,29
tt0000103,5.4,30
tt0000104,5.6,504
tt0000105,5,32
tt0000106,4.5,26
tt0000107,5.2,31
tt0000108,4.4,597
tt0000109,4.5,580
tt0000110,4.3,588
tt0000111,4.4,603
tt0000112,4.5,578
tt0000113,4.4,604
tt0000114,5.1,33
tt0000115,4.9,37
tt0000116,5.2,30
tt0000117,5,191
tt0000118,4.8,48
tt0000119,4.9,78
tt0000120,4.6,69
tt0000121,4.3,126
tt0000122,4.8,35
tt0000123,5.4,213
tt0000124,5,34
tt0000125,4.6,17
tt0000126,5.5,35
tt0000127,4.4,30
tt0000128,5.5,42
tt0000129,6.3,57
tt0000130,5.1,31
tt0000131,5.7,1669
tt0000132,5.1,1231
tt0000133,6.2,38
tt0000134,4.2,25
tt0000135,6.1,90
tt0000137,4.9,44
tt0000138,6.4,1328
tt0000139,5.3,29
tt0000140,4.9,352
tt0000141,5.1,152
tt0000142,4.8,34
tt0000143,5,304
tt0000144,5.2,384
tt0000145,3.1,16
tt0000146,4.8,29
tt0000147,5.2,564
tt0000148,3.3,17
tt0000149,4.8,24
tt0000150,5.4,205
tt0000151,4.5,80
tt0000152,6.2,322
tt0000153,5.7,566
tt0000154,3.5,20
tt0000155,5.2,31
tt0000156,3.9,26
tt0000157,3.5,18
tt0000158,2.9,18
tt0000159,5.1,172
tt0000160,5.2,29
tt0000161,3.6,16
tt0000162,5.4,511
tt0000163,5,15
tt0000164,5,348
tt0000165,4.6,156
tt0000166,3.4,21
tt0000167,4.1,175
tt0000168,2.9,19
tt0000169,4,63
tt0000170,5.2,301
tt0000171,3.3,22
tt0000172,6.1,1161
tt0000173,4.6,47
tt0000174,4.5,153
tt0000175,4.9,262
tt0000176,4.7,15
tt0000177,4.6,260
tt0000178,5.2,287
tt0000179,4.7,50
tt0000181,6.6,68
tt0000182,4.8,611
tt0000183,5.6,39
tt0000184,4.8,357
tt0000186,4.8,26
tt0000187,4.8,66
tt0000188,3.6,13
tt0000190,4.7,168
tt0000192,4.5,202
tt0000194,5.4,86
tt0000196,4.6,37
tt0000197,4,23
tt0000198,4.2,22
tt0000199,4,15
tt0000200,3.4,15
tt0000201,4.8,34
tt0000204,5.5,16
tt0000205,4.8,34
tt0000206,5.4,16
tt0000207,5.4,15
tt0000208,5.7,618
tt0000209,4.7,38
tt0000210,5,40
tt0000211,7.4,5142
tt0000213,4.7,290
tt0000214,4,125
tt0000215,4,148
tt0000216,5.8,11
tt0000218,5.9,789
tt0000219,6.6,34
tt0000222,4.6,277
tt0000223,5.4,20
tt0000225,5.1,41
tt0000228,4.9,328
tt0000229,4.4,128
tt0000230,6.5,1978
tt0000231,3.4,24
tt0000234,6.2,86
tt0000235,6.2,1115
tt0000239,5.6,320
tt0000240,4.4,99
tt0000242,6.4,1467
tt0000245,6.1,57
tt0000246,6.4,1155
tt0000247,4.9,561
tt0000248,6.1,1804
tt0000251,5.2,180
tt0000253,4.1,32
tt0000256,4.8,189
tt0000261,5.4,104
tt0000264,5.7,531
tt0000265,4.4,169
tt0000269,4.7,157
tt0000271,6.3,14
tt0000272,5.6,976
tt0000273,5.5,746
tt0000274,5.6,317
tt0000276,6.8,34
tt0000277,6.2,81
tt0000279,4.1,28
tt0000280,4.4,28
tt0000281,4.6,27
tt0000283,5.8,20
tt0000284,5.4,274
tt0000285,5.2,33
tt0000286,5.8,331
tt0000287,4.9,184
tt0000288,5.2,232
tt0000292,5.1,120
tt0000296,5.8,284
tt0000299,5.7,335
tt0000300,6.8,1537
tt0000301,4.4,491
tt0000302,5.3,345
tt0000304,6,1531
tt0000306,5.3,278
tt0000307,4.9,107
tt0000308,5.2,160
tt0000309,6.1,1044
tt0000310,7.4,37
tt0000313,5.8,888
tt0000318,5.1,20
tt0000319,5.7,330
tt0000321,4.8,258
tt0000328,5.5,17
tt0000335,5.8,60
tt0000337,4.9,395
tt0000340,4.9,360
tt0000341,4.9,420
tt0000346,4.7,261
tt0000347,4.4,131
tt0000349,5.5,158
tt0000350,5.7,823
tt0000352,5.2,72
tt0000353,5.1,408
tt0000355,6.1,859
tt0000357,5.8,563
tt0000358,6.2,852
tt0000359,7.1,3434
tt0000361,7.4,28
tt0000363,6.2,230
tt0000364,5.5,182
tt0000368,6.6,25
tt0000370,5.6,677
tt0000373,6.2,151
tt0000376,5.9,25
tt0000377,6,165
tt0000379,3.9,16
tt0000380,6.8,30
tt0000381,3.6,30
tt0000384,5.8,416
tt0000387,5.1,474
tt0000388,5.2,164
tt0000399,6.1,854
tt0000400,5.8,19
tt0000402,6.1,16
tt0000406,5.7,51
tt0000407,3.7,52
tt0000409,5.1,310
tt0000410,6.7,1159
tt0000412,4.4,33
tt0000413,5.5,552
tt0000414,5.4,863
tt0000416,5.4,231
tt0000417,8.1,59074
tt0000420,6.2,3068
tt0000422,5,11
tt0000423,5.5,282
tt0000425,4.9,28
tt0000426,4,24
tt0000430,5.8,757
tt0000432,5.7,274
tt0000436,6.1,582
tt0000437,5.1,344
tt0000439,7.2,22171
tt0000440,5.3,275
tt0000441,6.7,15
tt0000442,4.5,118
tt0000443,5.6,16
tt0000446,4.8,27
tt0000447,6.4,2875
tt0000451,6.5,1135
tt0000452,4.5,127
tt0000455,6.7,2026
tt0000456,3.9,70
tt0000459,4.4,83
tt0000463,6.4,12
tt0000464,4.8,527
tt0000465,7.3,2017
tt0000469,5.8,1230
tt0000471,5.2,568
tt0000472,6,27
tt0000479,5.2,442
tt0000480,5,237
tt0000487,6.7,584
tt0000488,6.9,940
tt0000491,3.7,74
tt0000492,4.8,164
tt0000495,5.9,146
tt0000496,5.7,82
tt0000497,5.1,102
tt0000498,6.6,1409
tt0000499,7.4,4285
tt0000501,4.7,57
tt0000502,3.6,22
tt0000505,6.1,36
tt0000506,4.8,11
tt0000507,3.4,65
tt0000509,5.5,58
tt0000511,5.7,57
tt0000512,4.4,77
tt0000515,4.7,126
tt0000516,6.5,1220
tt0000519,5.6,462
tt0000520,6.1,75
tt0000521,5.5,381
tt0000522,2.8,19
tt0000524,5.8,871
tt0000525,5.2,60
tt0000526,4,74
tt0000528,5.4,20
tt0000533,4.5,51
tt0000534,6.6,1394
tt0000535,4.9,82
tt0000537,4.3,103
tt0000543,4.3,21
tt0000544,5,12
tt0000546,6.7,2103
tt0000548,4.4,10
tt0000550,3.2,16
tt0000552,5.6,82
tt0000553,6.5,592
tt0000554,6.2,1604
tt0000555,4.9,28
tt0000557,4.6,155
tt0000561,4.9,77
tt0000565,6.2,725
